log_number,X_uuid,cluster_location_id,date_assessment,governorate_mcna_r,district_mcna,enumerator_num,question.name,issue,action,changed,old.value,Translation,new.value,flag_index
1,69a45aca-663a-43dc-a4bc-9c7b61e4655b,7945,7/27/2020 0:00,NA,duhok,95,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم تبلغ السن القانوني,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
2,be6177bb-44a1-4b52-bea3-552af4177812,7949,7/29/2020 0:00,NA,duhok,87,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,6 سنوات لم تبلغ السن القانوني للتسجيل,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
3,71e0e7b8-272c-4960-b0c3-cf1ab06f591c,8369,7/30/2020 0:00,NA,sumail,93,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بناتهم اطفال لم يبلغوا سن الرشد للدراسه,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
4,5b0c7352-aa2f-4978-a73d-3ec09ac808c3,8687,7/29/2020 0:00,NA,duhok,96,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,صغيرة عن عمر مدرسة,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
5,d3130dbe-f4a7-4b6e-a6aa-d3e803340691,8783,8/10/2020 0:00,NA,aqra,87,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يتم قبولهم في المدرسة بسبب تاخرها 4 سنوات  .. واخرى طلبوا منها وثيقة نقل من مدرستها في الموصل وتعذر على الوالدين ذلك .,"late to register at school for 4 years ,should bring a decument from Musel and that which his father can't do it .",lack_doc,1
6,d3b95224-9ecc-4acb-aee5-289ee6e0c0a2,8800,8/11/2020 0:00,NA,sumail,98,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,كان بيد داعش,was arrested by ISIS,not_safe,1
10,6e71c057-3ae9-43e4-aca5-71138e8dc968,12957,8/22/2020 0:00,NA,shaqlawa,123,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,عمر الطفل مااكتمل,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
11,86a400d9-a44f-4628-bc10-1c54dd7ea686,13141,9/6/2020 0:00,NA,rawanduz,123,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لااحد,no one,NA,1
12,3c979189-915b-4e0b-932f-103d88a97798,14375,8/19/2020 0:00,NA,dibis,63,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,المدرسة مغلقة من قبل الحكومة,the school is closed by the government,school_closed,1
13,3c979189-915b-4e0b-932f-103d88a97798,14375,8/19/2020 0:00,NA,dibis,63,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,المدرسة مغلقة من قبل الحكومة,the school is closed by the government,school_closed,1
